account_id,company_name,company_size,industry_id,region_id,customer_lifetime_value,existing_customer_flag,net_revenue_retention_pct,annual_spend,created_date
1,Acme Manufacturing Co.,Large,1,1,420000,1,92,125000,2018-03-15
2,Bell Financial Group,Large,2,1,580000,1,78,165000,2018-06-20
3,Tech Innovations Inc.,Medium,3,1,285000,1,88,95000,2018-09-10
4,Premier Healthcare Solutions,Large,4,1,450000,1,85,140000,2018-12-05
5,RetailCorp USA,Medium,5,2,195000,1,82,65000,2019-02-14
6,Energy Global Ltd.,Large,6,2,510000,1,80,155000,2019-05-20
7,TeleCom Networks,Large,7,2,620000,1,76,185000,2019-08-10
8,University of Knowledge,Medium,8,3,225000,1,84,75000,2019-11-15
9,Manufacturing Excellence,Large,1,1,395000,1,91,120000,2020-01-22
10,Capital Ventures Bank,Large,2,1,560000,1,79,168000,2020-04-10
11,SoftWare Solutions Ltd.,Medium,3,1,310000,1,89,105000,2020-06-18
12,Health Systems International,Large,4,2,475000,1,86,145000,2020-09-05
13,Retail Dynamics Corp.,Medium,5,2,210000,1,83,70000,2020-11-20
14,Energy Production Inc.,Large,6,3,525000,1,81,160000,2021-01-30
15,Global Telecom Services,Large,7,3,640000,1,77,192000,2021-03-15
16,Education Plus University,Medium,8,3,240000,1,85,80000,2021-05-22
17,Industrial Systems Group,Large,1,1,410000,1,93,125000,2021-07-10
18,Financial Systems Corp.,Large,2,2,575000,1,78,172000,2021-09-05
19,Tech Enterprises Ltd.,Medium,3,2,305000,1,90,105000,2021-11-12
20,Premier Health Network,Large,4,3,490000,1,87,150000,2022-01-08
21,RetailHub Solutions,Medium,5,3,220000,1,84,75000,2022-03-15
22,Energy Worldwide,Large,6,1,530000,1,82,162000,2022-05-20
23,TeleCommunications Inc.,Large,7,1,650000,1,76,195000,2022-07-18
24,Advanced Education Systems,Medium,8,1,250000,1,86,85000,2022-09-10
25,Manufacturing Dynamics,Large,1,2,425000,1,94,130000,2022-11-05
26,Metro Bank Holdings,Large,2,2,590000,1,79,175000,2023-01-12
27,Digital Tech Solutions,Medium,3,3,320000,1,91,110000,2023-03-08
28,Integrated Healthcare,Large,4,3,505000,1,88,155000,2023-05-15
29,Global Retail Network,Medium,5,3,235000,1,85,80000,2023-07-22
30,Power Generation Corp.,Large,6,2,545000,1,83,165000,2023-09-10
31,Telecom Global Services,Large,7,2,665000,1,77,200000,2023-11-20
32,State University System,Medium,8,2,265000,1,87,90000,2024-01-15
33,Smith Manufacturing,Large,1,1,388000,1,91,118000,2018-04-10
34,Johnson Financial Services,Large,2,1,562000,1,78,168000,2018-07-25
35,Williams Technology,Medium,3,1,298000,1,89,100000,2018-10-15
36,Davis Healthcare,Large,4,1,468000,1,86,142000,2019-01-20
37,Miller Retail Group,Medium,5,2,205000,1,83,68000,2019-03-18
38,Wilson Energy,Large,6,2,518000,1,81,158000,2019-06-12
39,Moore Telecom,Large,7,2,632000,1,77,190000,2019-09-22
40,Taylor Education,Medium,8,3,232000,1,85,78000,2019-12-10
41,Anderson Manufacturing,Large,1,1,402000,1,92,122000,2020-02-15
42,Thomas Financial,Large,2,1,568000,1,79,170000,2020-05-20
43,Jackson Technology,Medium,3,1,315000,1,90,107000,2020-07-28
44,White Healthcare,Large,4,2,478000,1,87,148000,2020-10-05
45,Harris Retail,Medium,5,2,215000,1,84,72000,2020-12-18
46,Martin Energy,Large,6,3,532000,1,82,162000,2021-02-22
47,Thompson Telecom,Large,7,3,642000,1,78,194000,2021-04-20
48,Garcia Education,Medium,8,3,245000,1,86,82000,2021-06-15
49,Martinez Manufacturing,Large,1,1,418000,1,93,128000,2021-08-20
50,Robinson Financial,Large,2,2,578000,1,80,173000,2021-10-25
51,Clark Technology,Medium,3,2,310000,1,91,108000,2021-12-12
52,Rodriguez Healthcare,Large,4,3,495000,1,88,152000,2022-02-10
53,Lewis Retail,Medium,5,3,225000,1,85,76000,2022-04-18
54,Lee Energy,Large,6,1,538000,1,83,165000,2022-06-22
55,Walker Telecom,Large,7,1,652000,1,79,197000,2022-08-30
56,Hall Education,Medium,8,1,255000,1,87,86000,2022-10-15
57,Allen Manufacturing,Large,1,2,430000,1,94,132000,2022-12-20
58,Young Financial,Large,2,2,585000,1,81,176000,2023-02-14
59,King Technology,Medium,3,3,325000,1,92,112000,2023-04-12
60,Wright Healthcare,Large,4,3,510000,1,89,158000,2023-06-20
61,Lopez Retail,Medium,5,3,240000,1,86,82000,2023-08-28
62,Hill Energy,Large,6,2,545000,1,84,168000,2023-10-25
63,Scott Telecom,Large,7,2,662000,1,80,199000,2023-12-10
64,Green Education,Medium,8,2,270000,1,88,92000,2024-02-05
65,Adams Manufacturing,Large,1,1,395000,0,91,120000,2020-03-10
66,Nelson Financial,Large,2,1,570000,0,78,170000,2020-06-15
67,Carter Technology,Medium,3,1,305000,0,90,105000,2020-08-22
68,Mitchell Healthcare,Large,4,1,480000,0,87,145000,2020-11-12
69,Perez Retail,Medium,5,2,220000,0,84,75000,2021-01-25
70,Roberts Energy,Large,6,2,525000,0,82,160000,2021-03-30
71,Phillips Telecom,Large,7,2,645000,0,78,194000,2021-05-28
72,Campbell Education,Medium,8,3,250000,0,86,85000,2021-07-20
73,Parker Manufacturing,Large,1,1,408000,0,92,124000,2021-09-15
74,Evans Financial,Large,2,1,575000,0,79,172000,2021-11-22
75,Edwards Technology,Medium,3,1,320000,0,91,110000,2022-01-20
76,Collins Healthcare,Large,4,2,490000,0,88,150000,2022-03-25
77,Reeves Retail,Medium,5,2,230000,0,85,78000,2022-05-18
78,Morris Energy,Large,6,3,535000,0,83,163000,2022-07-22
79,Rogers Telecom,Large,7,3,655000,0,79,198000,2022-09-20
80,Rogers Education,Medium,8,3,260000,0,87,88000,2022-11-15
81,Morgan Manufacturing,Large,1,1,420000,0,93,128000,2022-12-10
82,Peterson Financial,Large,2,2,582000,0,80,175000,2023-02-08
83,Cooper Technology,Medium,3,2,325000,0,92,112000,2023-04-15
84,Tucker Healthcare,Large,4,3,500000,0,89,155000,2023-06-22
85,Peterson Retail,Medium,5,3,240000,0,86,82000,2023-08-30
86,Gray Energy,Large,6,1,542000,0,84,166000,2023-10-28
87,Ramirez Telecom,Large,7,1,662000,0,80,200000,2023-12-15
88,James Education,Medium,8,1,268000,0,88,91000,2024-02-10
89,Watson Manufacturing,Large,1,2,435000,0,94,133000,2024-03-05
90,Brooks Financial,Large,2,2,590000,0,81,178000,2024-04-12
91,Chavez Technology,Medium,3,3,330000,0,93,115000,2024-05-20
92,Kelly Healthcare,Large,4,3,515000,0,90,160000,2024-06-25
93,Sanders Retail,Medium,5,3,245000,0,87,84000,2024-07-30
94,Bennett Energy,Large,6,2,550000,0,85,170000,2024-08-15
