opportunity_id,account_id,sales_rep_id,stage_id,lead_source_id,industry_id,region_id,opportunity_value_usd,weighted_pipeline_value,created_date,stage_entry_date,stage_exit_date,closed_date,is_won,is_lost,loss_reason,days_in_stage,days_to_close,sales_cycle_days,forecast_amount_usd,forecast_stage,forecast_close_date,is_forecast_accurate,forecast_accuracy_variance_pct,proposal_template_version
1,27,10,6,3,1,1,148819,141545,2024-07-21,2024-07-21,2024-10-15,2024-09-10,0,0,Budget,74,77,17,25253,Negotiation,2024-08-21,0,1,new
2,36,1,2,4,1,1,69910,231853,2024-07-09,2024-07-09,2024-08-07,2024-08-15,0,1,Competitor,90,105,21,57648,Negotiation,2024-09-27,1,1,new
3,124,1,5,3,1,1,121020,214972,2024-11-13,2024-11-13,2025-01-27,2024-12-13,0,1,Timing,43,26,12,36019,Negotiation,2025-01-09,0,0,new
4,116,11,1,2,1,1,30379,78635,2023-04-26,2023-04-26,2023-06-26,2023-06-27,1,0,Timing,37,41,77,47791,Negotiation,2023-08-18,0,1,new
5,114,10,5,3,1,1,19980,16795,2024-02-05,2024-02-05,2024-02-21,2024-04-09,0,1,Timing,28,76,21,79410,Negotiation,2024-06-01,0,1,new
6,57,3,6,3,1,1,48224,249670,2024-12-03,2024-12-03,2025-01-11,2025-02-17,0,0,Budget,75,117,35,35789,Negotiation,2025-03-15,1,1,new
7,280,6,6,4,1,1,95033,66374,2024-07-19,2024-07-19,2024-09-03,2024-11-24,1,0,Timing,45,56,114,70973,Negotiation,2024-08-18,1,1,new
8,57,6,4,3,1,1,210536,204809,2023-12-18,2023-12-18,2024-02-29,2024-03-24,0,0,Budget,75,112,85,16907,Negotiation,2024-04-22,0,0,new
9,204,2,5,1,1,1,28583,32792,2024-10-27,2024-10-27,2024-12-25,2024-12-31,0,1,Timing,14,31,53,196970,Negotiation,2025-03-09,0,1,new
10,252,11,7,3,1,1,143003,163764,2023-02-11,2023-02-11,2023-05-06,2023-06-12,0,0,Budget,62,48,29,149488,Negotiation,2023-04-20,1,0,new
11,164,5,5,2,1,1,47669,72683,2024-03-30,2024-03-30,2024-06-24,2024-07-05,1,0,No Decision,93,51,96,19862,Negotiation,2024-06-27,1,1,new
12,202,12,7,3,1,1,79415,106480,2023-10-23,2023-10-23,2023-12-01,2023-12-29,0,1,Timing,79,16,38,190055,Negotiation,2024-02-11,1,1,new
13,284,9,6,1,1,1,112270,74212,2023-10-19,2023-10-19,2023-11-20,2023-11-27,1,0,No Decision,5,76,75,134539,Negotiation,2023-12-07,1,1,new
14,130,1,4,2,1,1,63076,49747,2024-03-20,2024-03-20,2024-04-09,2024-04-16,1,0,Timing,64,61,87,43054,Negotiation,2024-06-20,1,0,new
15,265,9,5,1,1,1,27908,138337,2024-09-17,2024-09-17,2024-10-01,2024-12-09,1,0,Competitor,62,120,109,95794,Negotiation,2025-01-01,1,0,new
16,15,8,5,2,1,1,200371,192493,2023-10-21,2023-10-21,2023-11-30,2024-01-12,1,0,No Decision,68,86,43,179808,Negotiation,2024-01-06,0,1,new
17,288,3,2,3,1,1,18106,100753,2023-01-13,2023-01-13,2023-04-08,2023-03-31,0,0,No Decision,110,19,114,20832,Negotiation,2023-05-23,1,1,new
18,74,3,3,4,1,1,29174,45372,2023-06-28,2023-06-28,2023-08-12,2023-11-09,1,0,No Decision,79,30,19,183624,Negotiation,2023-07-24,1,1,new
19,230,4,5,4,1,1,45110,53168,2023-12-13,2023-12-13,2023-12-28,2024-03-17,0,0,No Decision,33,42,22,116556,Negotiation,2024-01-18,0,1,new
20,130,9,5,3,1,1,192618,89520,2024-05-17,2024-05-17,2024-08-14,2024-07-06,0,1,Competitor,83,108,114,45341,Negotiation,2024-09-16,0,1,new
21,147,1,7,2,1,1,15667,27566,2023-05-28,2023-05-28,2023-08-07,2023-09-09,1,0,No Decision,86,68,77,91788,Negotiation,2023-09-03,1,1,new
22,52,11,5,4,1,1,180585,41576,2024-09-19,2024-09-19,2024-11-27,2024-12-08,1,0,Competitor,59,42,22,21264,Negotiation,2024-12-05,1,1,new
23,214,2,4,3,1,1,109803,24828,2024-06-26,2024-06-26,2024-09-18,2024-09-29,1,0,Timing,25,73,40,32099,Negotiation,2024-11-03,1,1,new
24,216,9,4,4,1,1,163976,29704,2024-10-25,2024-10-25,2024-12-16,2024-11-21,0,1,Competitor,114,11,46,154155,Negotiation,2025-01-15,1,1,new
25,97,7,2,2,1,1,60661,191346,2023-12-15,2023-12-15,2024-01-04,2024-04-08,1,0,Timing,59,76,54,34648,Negotiation,2024-01-06,0,0,new
26,193,10,5,1,1,1,239864,51340,2024-02-15,2024-02-15,2024-05-15,2024-04-19,0,0,Budget,102,12,12,28359,Negotiation,2024-06-19,0,0,new
27,221,12,5,2,1,1,59980,188302,2023-11-25,2023-11-25,2024-01-12,2024-02-27,1,0,No Decision,105,69,98,21173,Negotiation,2024-02-27,0,0,new
28,89,12,6,4,1,1,218290,27312,2023-10-27,2023-10-27,2023-12-10,2023-12-25,0,1,Timing,38,11,116,158573,Negotiation,2024-02-27,0,0,new
29,115,6,7,4,1,1,15558,48352,2023-03-05,2023-03-05,2023-05-08,2023-07-02,0,1,No Decision,22,112,23,37442,Negotiation,2023-05-12,1,1,new
30,267,7,1,3,1,1,131659,39393,2023-09-03,2023-09-03,2023-11-01,2023-10-31,1,0,Timing,40,6,41,148593,Negotiation,2023-12-18,1,1,new
31,277,12,5,2,1,1,33574,228327,2023-06-17,2023-06-17,2023-08-14,2023-09-16,1,0,Timing,82,73,22,232224,Negotiation,2023-10-07,0,1,new
32,290,11,2,4,1,1,130414,16117,2023-05-15,2023-05-15,2023-08-09,2023-09-25,0,0,Competitor,22,87,41,37678,Negotiation,2023-06-19,0,0,new
33,93,7,1,2,1,1,27915,52302,2023-08-30,2023-08-30,2023-09-12,2023-09-29,0,1,Timing,41,30,47,16114,Negotiation,2023-10-09,1,1,new
